IMO,MMSI
7382433,373163000
5425619,240922000
5404988,237241100
8811273,241108000
5172731,237106400
9420435,518315000
9430480,518298000
7036137,239249000
8903181,240733000
9020405,239634000
8008307,237070500
7811525,237070600
8008254,240612000
9381469,240917000
9332561,572765210
9376880,563002000
8417845,247034800
9354985,375715000
9248734,240745000
9142772,24143400
9439278,503757000
8523357,239743000
9520467,518342000
9617002,477765400
9600504,477095700
9600516,477847300
9617014,477947200
9277230,477122000
9265615,477042000
9683178,477519200
9682564,477195500
9771303,477478300
9688283,477608100
9688271,477608200
7510561,224020910
9620061,413474870
9318797,533000422
9404211,419001053
9087130,419078400
8127787,419187000
9304710,419562000
8221533,419127000
8122103,419092100
8121159,419084700
7430541,419551000
7724746,419611000
9231523,419001025
9299070,533180020
8513699,419000668
9371880,419060900
9412256,419065300
9630456,419000721
9680827,419000860
9705550,419000955
9191797,419001005
9428554,419773000
9378993,419789000
9149457,564595000
9169354,565142000
9428592,419097800
9443968,419769000
9408425,419702000
9443944,419768000
9198484,259542000
9215531,375042000
9328247,466242000
9429596,565656000
9509205,419704000
9541100,419744000
9299082,419539000
8220292,419129000
8304933,419001900
9428566,419088600
9214458,572753210
9253557,419093300
9421752,419000374
9561502,419000813
8316558,419536000
9019286,419000378
9572812,419000101
9572800,419000102
8316560,419537000
9238715,419057600
9644861,419000408
9780938,419001121
9529047,419000923
9773026,565373000
9205251,419009300
8519083,419621000
9555541,419090700
9555565,419092800
8217568,419059400
9325582,419000168
9448542,419000122
9427732,419000274
9590163,419000167
9719604,572721210
9223368,419000123
9719599,572722210
9152454,419000146
9154933,419000108
9342229,419061900
9626493,419000521
9069932,419067600
8980438,419000107
9453547,419070900
9433779,419067400
9400667,419064300
9512276,419093700
9109237,419077900
9300726,572792210
9221176,419575000
9300714,419053700
8413801,419389000
8413813,419390000
8311730,419400000
8311742,419401000
9549827,564253000
9620906,419000850
9070357,419094600
9127318,372781000
9691383,564657000
9494890,533130059
9270608,525005254
9587934,525003174
9587946,525003213
9550242,525019656
9709879,525019668
9443516,525005201
9546564,525015776
9394662,525015788
9408932,525012205
9422861,525023210
9680475,525005257
9680487,525012277
9661481,572725210
9500340,352363000
9746516,351603000
9428633,525009266
9495193,525018189
9655717,525024165
9541095,525007130
9468243,525021040
9468255,525021041
9560584,525021280
9489144,525019652
9510761,565990000
9559030,525019653
9559042,525019654
9427689,525015940
8968014,564556000
9531296,564049000
9531284,564048000
9328209,525015895
9601364,525015891
9612698,525015908
9659969,566633000
9653680,525005067
9592989,525018129
9246437,525005229
9149445,525005216
9543201,525015903
9548639,525005255
9707405,525005320
9336555,525019583
9695391,572569210
9576698,525003161
9675389,525024138
9693862,525019678
9797565,542200110
9555838,525016552
9655690,525019647
9655688,525019631
9680504,525003221
9501447,564969000
9710361,525023308
9710452,525021293
9636230,525007132
9703186,565167000
9554975,525003173
9548081,563992000
9723497,525024253
9769403,525004125
9558359,565875000
9661546,525023337
9651369,525005225
9242780,525016315
8315279,525016169
9693874,501090000
9246255,525015814
9407641,525004014
9446805,525019617
8207513,525016687
9534937,525016455
9534963,525016456
9534951,525016601
9630195,525016706
9540015,525009098
9504841,566447000
9337200,525024140
9371012,525019352
9564841,525024258
9709673,525018214
9474424,525003109
9572733,525019623
9531337,525012171
9562958,457290010
9640695,525003162
9774721,525024357
8907357,525016604
9756597,525004128
9756614,525004135
9676797,525022210
9676802,525022211
9676814,525022238
9676826,525022239
9676838,525022240
9764544,525022379
9764556,525022380
9764568,525022381
9764570,525022395
9764582,525022396
9505699,525020166
9585091,525000
9646766,525005065
9635133,525010166
9369045,525024006
9314430,525016718
9569891,525019511
9535319,533882000
9649158,525007280
9644914,525003167
9691371,564658000
9691826,525005268
9683702,525021160
9530852,566023000
9683570,422062900
8127036,422054000
9520479,422032900
9727728,374490000
9727716,374485000
9700756,511074000
9743100,511109000
9743564,511207000
9656785,511026000
9656797,512085000
9664421,425001045
9085209,232002070
8402890,250106440
8514693,250109400
9547855,229876000
9112741,250098000
9224817,311457000
9409651,235067338
9348259,235050049
9417828,235075027
9196747,259980000
9239757,235435000
9179751,232980000
9181510,233941000
9198056,219186000
9742041,428066000
9605217,428043000
9667916,428045000
9186572,247356000
9274783,247082800
9379416,247209300
9379428,247243200
9235294,247045700
9553581,247295600
9596753,247320600
9275139,247087200
9275127,247087100
9334911,247141700
9341251,247153600
9442275,247266600
9499656,247278500
9499644,247278400
7114159,247102570
8111740,247256900
9494618,247301800
9385398,247237400
9381495,247237300
9665566,247349900
9428578,247304800
9608788,247325100
9249829,247191500
9249764,247047500
9302853,247102600
9439242,247332100
9421714,247279900
9468762,247284800
9270074,247182400
8318233,247227300
9529061,247278800
9552630,247280800
9606106,247322200
9461037,377267000
9211224,247111500
9183063,247295000
9211236,247111400
9438951,247333900
9769386,247342400
9229219,247077800
9051258,247246000
9460992,247268300
9361495,247187200
9461001,247278300
9423994,256920000
9199062,247202000
9225160,247843000
9764324,247342800
9278454,247100900
9278466,247101700
9289300,247293400
9289350,247099500
9372781,247173600
9524102,247303700
9747003,247351800
9747015,247355700
9163740,247219000
9163738,247204000
9662057,247331300
9319026,247129500
9647411,375679000
9421180,247226800
9722558,271043925
9319014,247130800
9170353,247243000
8703311,247606000
9170327,247214000
9432995,247294900
8518170,247605000
7711672,247075500
9443748,247267800
9443750,247277300
9695597,247342700
9393125,247213700
9351713,247159200
9393113,247194300
9319167,247131200
9359181,247176600
9647459,247331200
9693616,247349200
9615585,247316200
9686998,247333800
9540388,372696000
9540390,373007000
9396402,247222500
9163946,247324000
9257967,247076200
9190418,247841000
9239317,247046500
9129897,247402000
9203344,247545000
9461013,247234700
9461049,247265400
9461025,247235500
9341263,247152500
9152698,247823000
9695535,376846000
9523885,247264800
9526825,247270200
7351068,247438000
7222669,247536000
9237577,372937000
9529437,247277200
9477464,247246500
9477476,247255500
9423994,256920000
9220823,572766210
9229726,247073500
9205782,247120100
9438999,247269800
9439008,247269900
9056105,247120400
9229738,247073600
9205770,24765000
8504325,247034600
9040106,247113500
9040091,247120200
9438987,247295700
9285873,247108900
9440734,247322100
9289427,247090500
9577965,247297700
9449015,235080777
9431678,247215400
8226557,824848428
7917991,247353400
9509346,247257200
9509358,247257300
9323168,210774000
9323156,210951000
9136008,247111000
9563952,247281700
9201566,247409000
9449003,247370200
9170341,247469000
9782730,247361800
9170339,247408000
9136010,247186900
9304394,247115100
9529449,247278900
9359193,247188900
9343948,247185800
9764477,271044321
9217589,247061700
9217591,247082300
9187679,247365000
9328443,247289200
8803355,730087000
9728966,431299000
8131099,431200050
9697911,432929000
9344576,432506000
9400447,432590000
9561576,432745000
9014042,431153000
